"","Graduating.Class","Fall.Freshman.Year","District","District.Name","Graduates","Total.Cohort","Graduation.Rate","Graduation.Rate.Category"
"32",2012,2008,918,"Calamus-Wheatland",36,38,94.7,"90.1 - 100%"
"33",2013,2009,2727,"Grundy Center",47,49,95.9,"90.1 - 100%"
"34",2017,2013,1638,"Decorah",120,124,96.8,"90.1 - 100%"
"35",2014,2010,914,"CAM",33,46,71.7,"70.1 - 80%"
"36",2011,2007,4086,"Marion",119,136,87.5,"80.1 - 90%"
"37",2012,2008,6987,"West Monona",49,51,96.1,"90.1 - 100%"
"38",2012,2008,6030,"Sioux Center",64,73,87.7,"80.1 - 90%"
"39",2016,2012,3119,"Interstate 35",62,65,95.4,"90.1 - 100%"
"40",2015,2011,6101,"Southeast Polk",445,456,97.6,"90.1 - 100%"
"41",2017,2013,5643,"Roland-Story",69,74,93.2,"90.1 - 100%"
"42",2016,2012,1062,"Center Point-Urbana",96,104,92.3,"90.1 - 100%"
"43",2010,2006,6651,"Villisca",22,24,91.7,"90.1 - 100%"
"44",2016,2012,3600,"Le Mars",158,163,96.9,"90.1 - 100%"
"45",2009,2005,4774,"North Fayette",76,82,92.7,"90.1 - 100%"
"46",2010,2006,1044,"Cedar Falls",349,363,96.1,"90.1 - 100%"
"47",2014,2010,6035,"Sioux Central",59,64,92.2,"90.1 - 100%"
"48",2012,2008,63,"Akron Westfield",41,42,97.6,"90.1 - 100%"
"49",2015,2011,1944,"Eagle Grove",52,56,92.9,"90.1 - 100%"
"50",2015,2011,2113,"Essex",13,13,100,"90.1 - 100%"
"51",2013,2009,4212,"Melcher-Dallas",33,33,100,"90.1 - 100%"
"52",2015,2011,2754,"Guthrie Center",31,33,93.9,"90.1 - 100%"
"53",2012,2008,2977,"Highland",47,55,85.5,"80.1 - 90%"
"54",2014,2010,441,"A-H-S-T",31,31,100,"90.1 - 100%"
"55",2010,2006,846,"Brooklyn-Guernsey-Malcom",58,58,100,"90.1 - 100%"
"56",2013,2009,2988,"Hinton",37,38,97.4,"90.1 - 100%"
"57",2015,2011,6460,"Tri-Center",47,48,97.9,"90.1 - 100%"
"58",2014,2010,472,"Ballard",106,112,94.6,"90.1 - 100%"
"59",2014,2010,7056,"Winterset",126,128,98.4,"90.1 - 100%"
"60",2010,2006,2124,"Estherville Lincoln Central",89,107,83.2,"80.1 - 90%"
"61",2010,2006,6120,"Spirit Lake",93,106,87.7,"80.1 - 90%"
"62",2015,2011,6943,"West Central",13,16,81.3,"80.1 - 90%"
"63",2009,2005,4878,"Ogden",60,72,83.3,"80.1 - 90%"
"64",2011,2007,6098,"South Tama County",96,108,88.9,"80.1 - 90%"
"65",2014,2010,5139,"Paton-Churdan",9,10,90,"80.1 - 90%"
"66",2014,2010,3600,"Le Mars",143,149,96,"90.1 - 100%"
"67",2012,2008,2295,"Forest City",86,92,93.5,"90.1 - 100%"
"68",2012,2008,4033,"Maple Valley",52,53,98.1,"90.1 - 100%"
"69",2012,2008,1968,"East Marshall",53,57,93,"90.1 - 100%"
"70",2014,2010,5184,"Perry",134,150,89.3,"80.1 - 90%"
"71",2011,2007,5184,"Perry",119,128,93,"90.1 - 100%"
"72",2015,2011,4536,"Mount Pleasant",140,156,89.7,"80.1 - 90%"
"73",2015,2011,1215,"Clarksville",17,18,94.4,"90.1 - 100%"
