County,AEA,District,District.Name,Graduation.Year,Diploma.Count,Private.4-Year.College,Public.4-Year.College,Private.2-Year.College,Community.College,Other.Training,Employment,Homemaker,Military,Unknown
79,7,4437,Montezuma,2012,31,5,9,6,0,4,4,0,3,0
53,10,4446,Monticello,2012,79,13,27,24,4,0,1,0,2,8
4,15,4491,Moravia,2012,17,6,2,8,0,0,1,0,0,0
93,13,4505,Mormon Trail,2012,14,1,0,7,1,1,2,0,0,2
58,15,4509,Morning Sun,2012,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4,15,4518,Moulton-Udell,2012,23,1,4,11,1,0,4,0,2,0
80,13,4527,Mount Ayr,2012,40,3,12,14,0,1,9,0,0,1
44,15,4536,Mount Pleasant,2012,164,15,40,70,0,4,22,0,4,9
57,10,4554,Mount Vernon,2012,100,28,31,30,0,0,9,0,2,0
20,13,4572,Murray,2012,29,7,11,7,0,2,0,0,1,1
70,9,4581,Muscatine,2012,323,42,61,141,1,9,9,0,11,49
19,7,4599,Nashua-Plainfield,2012,54,5,4,40,0,2,3,0,0,0
85,11,4617,Nevada,2012,108,13,38,37,0,0,11,0,0,9
11,5,4644,Newell-Fonda,2012,30,4,7,15,1,0,1,0,2,0
19,1,4662,New Hampton,2012,97,6,40,28,0,2,17,0,3,1
44,15,4689,New London,2012,33,2,4,12,0,0,2,0,0,13
50,11,4725,Newton,2012,209,31,49,88,5,3,18,0,9,6
98,7,4772,Central Springs,2012,73,5,15,36,1,1,12,0,3,0
23,9,4773,Northeast,2012,73,9,23,21,5,0,10,2,2,1
33,1,4774,North Fayette,2012,64,12,17,24,0,4,5,0,1,1
40,5,4775,Northeast Hamilton,2012,15,0,0,0,0,0,0,0,0,15
62,15,4776,North Mahaska,2012,40,12,8,16,0,0,3,0,1,0
57,10,4777,North Linn,2012,47,6,15,20,0,1,4,0,1,0
55,5,4778,North Kossuth,2012,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
77,11,4779,North Polk,2012,86,15,22,33,1,2,8,0,5,0
82,9,4784,North Scott,2012,223,45,64,81,1,7,17,0,4,4
86,7,4785,North Tama County,2012,49,11,10,19,0,0,1,0,5,3
96,1,4787,North Winneshiek,2012,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
98,7,4788,Northwood-Kensett,2012,45,4,14,25,1,0,1,0,0,0
91,11,4797,Norwalk,2012,190,31,52,67,0,6,15,0,7,12
81,5,4860,Odebolt-Arthur,2012,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
33,1,4869,Oelwein,2012,105,14,12,43,3,0,16,0,6,11
8,11,4878,Ogden,2012,48,9,13,21,0,0,1,0,1,3
30,5,4890,Okoboji,2012,72,4,22,26,0,1,15,0,4,0
53,10,4905,Olin Consolidated,2012,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,13,4978,Orient-Macksburg,2012,15,3,3,8,0,1,0,0,0,0
66,7,4995,Osage,2012,61,5,12,28,1,0,2,0,4,9
62,15,5013,Oskaloosa,2012,145,33,44,43,0,7,14,0,3,1
90,15,5049,Ottumwa,2012,312,22,53,136,2,6,34,1,12,46
39,11,5121,Panorama,2012,57,11,9,24,1,1,3,0,1,7
37,5,5139,Paton-Churdan,2012,12,1,2,5,0,0,0,0,0,4
50,11,5160,PCM,2012,69,13,14,25,1,3,3,0,0,10
